Year,DepTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Delay,CRSDepTime_sin,CRSDepTime_cos,CRSArrTime_sin,CRSArrTime_cos,ArrTime_sin,ArrTime_cos,Month_sin,Month_cos,DayofMonth_sin,DayofMonth_cos,DayOfWeek_sin,DayOfWeek_cos
1999,2203.0,DL,230.0,241.0,199.0,-13.0,-2.0,ATL,PHX,1587,6,25,N,-0.477462512278564,0.8786521207899303,0.026195135216374423,0.9996568485690457,-0.03053851320982278,0.9995335908367129,0.49999999999999994,0.8660254037844387,-0.10116832198743204,-0.9948693233918952,-0.7818314824680299,0.6234898018587334
1999,1100.0,DL,42.0,42.0,23.0,0.0,0.0,BTR,JAN,138,7,12,N,0.2568854727310413,-0.9664418523117412,0.07633688312287884,-0.9970820830177844,0.07845909572784551,-0.996917333733128,-1.0,-1.8369701987210297e-16,-0.20129852008866028,0.9795299412524945,-0.433883739117558,-0.9009688679024191
1999,1849.0,NW,209.0,187.0,156.0,21.0,-1.0,LGA,MSP,1020,6,47,Y,-0.9755486741836519,0.21978349414484946,-0.7136371434687848,0.700515544054315,-0.6494480483301834,0.760405965600031,-0.866025403784439,0.49999999999999933,0.7907757369376985,-0.6121059825476629,0.7818314824680298,0.6234898018587336
1999,1150.0,WN,60.0,60.0,42.0,0.0,0.0,BWI,ISP,220,3,15,N,0.04146848123649409,-0.9991398125707626,-0.21871846537690914,-0.9757880061279549,-0.21643961393810293,-0.9762960071199334,-2.4492935982947064e-16,1.0,0.10116832198743228,-0.9948693233918952,0.43388373911755823,-0.900968867902419
1999,921.0,UA,113.0,129.0,99.0,-16.0,0.0,SEA,SFO,679,4,10,N,0.6381302319520151,-0.7699284428236609,0.12845159529234476,-0.9917157796802729,0.1993679344171977,-0.9799247046208295,-0.8660254037844385,-0.5000000000000004,-0.8486442574947509,0.5289640103269624,-0.433883739117558,-0.9009688679024191
1999,1541.0,DL,68.0,60.0,43.0,9.0,1.0,ATL,CHS,259,9,16,Y,-0.8207835565049689,-0.5712393135727394,-0.9407253698140762,-0.33916924770410656,-0.9523957996432785,-0.3048642990280104,-1.0,-1.8369701987210297e-16,0.5712682150947923,0.8207634412072763,-0.9749279121818236,-0.2225209339563146
1999,1532.0,CO,127.0,131.0,113.0,-5.0,-1.0,IAH,MCO,853,3,11,N,-0.802943284912212,-0.5960554346823677,-0.9809711716075916,0.1941534456939384,-0.9855560590580779,0.1693495038490236,1.0,6.123233995736766e-17,0.39435585511331855,0.9189578116202306,0.9749279121818236,-0.22252093395631434
1999,1353.0,NW,105.0,103.0,81.0,0.0,-2.0,MEM,HOU,484,4,20,N,-0.48320699150957885,-0.875506141244173,-0.8157638559007448,-0.5783851064869745,-0.8141155183563188,-0.5807029557109403,0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,0.7818314824680298,0.6234898018587336
1999,2028.0,UA,107.0,106.0,75.0,44.0,43.0,DEN,PHX,602,2,30,Y,0.0,1.0,0.0,1.0,-0.4422886902190014,0.8968727415326883,1.0,6.123233995736766e-17,0.6513724827222223,-0.758758122692791,-0.9749279121818236,-0.2225209339563146
1999,1248.0,UA,89.0,80.0,52.0,6.0,-3.0,SFO,LAX,337,24,13,Y,0.0,1.0,0.0,1.0,-0.5628049276950682,-0.8265897491271889,1.0,6.123233995736766e-17,0.39435585511331855,0.9189578116202306,0.9749279121818236,-0.22252093395631434
1999,809.0,NW,90.0,98.0,74.0,26.0,34.0,MBS,MSP,463,9,7,Y,0.9147549599221584,-0.40400911288956154,0.8354655945129974,-0.5495427557388449,0.7688418320734596,-0.6394390019805847,-1.0,-1.8369701987210297e-16,-0.9987165071710528,-0.05064916883871266,-0.433883739117558,-0.9009688679024191
1999,1035.0,TW,123.0,130.0,102.0,-9.0,-2.0,STL,PHL,813,5,16,N,0.3524841591683892,-0.9358177800914843,-0.4523362772937523,-0.8918474601881364,-0.41469324265623897,-0.9099612708765432,1.0,6.123233995736766e-17,-0.9680771188662043,-0.2506525322587205,0.7818314824680298,0.6234898018587336
1999,2142.0,CO,62.0,85.0,39.0,-11.0,12.0,EWR,MHT,209,4,19,Y,-0.6056535571635977,0.7957284516058734,-0.27582389329771223,0.9612081875879399,-0.3255681544571567,0.9455185755993168,-0.8660254037844385,-0.5000000000000004,-0.9884683243281114,0.15142777750457667,0.9749279121818236,-0.22252093395631434
1999,1856.0,DL,186.0,175.0,162.0,7.0,-4.0,FLL,ISP,1093,5,19,Y,-0.9650253980022768,0.26215640600707685,-0.5153603262946704,0.8569735900723259,-0.4924235601034673,0.8703556959398996,-0.4999999999999997,-0.8660254037844388,-0.8978045395707417,-0.44039415155763423,0.43388373911755823,-0.900968867902419
1999,1910.0,CO,197.0,204.0,167.0,-2.0,5.0,IAH,LGA,1416,4,26,Y,-0.9590725433589095,0.2831604784836204,-0.13061637919126856,0.991432983860716,-0.14349262199117946,0.9896513868196702,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,0.43388373911755823,-0.900968867902419
